"report_date","cumulative_cases","cumulative_cases_confirmed","cumulative_cases_probable","cumulative_tests_reportable","cumulative_deaths","cases_7days","confirmed_cases_7days","probable_cases_7days","tests_reportable_7days","newly_reported_deaths","positive_naat_7days","tests_naat_7days","naat_positivity_7days","cumulative_positive_naat","cumulative_tests_naat","positive_ag_7days","census_today","fullyvax_today","partialvax_today","nonvax_today","adddose_today","census_7days_ago","census_change","census_not_fully_vax","census_pct_not_fully_vax","cases_age_group_0-9_7days","cases_age_group_10-19_7days","cases_age_group_20-29_7days","cases_age_group_30-39_7days","cases_age_group_40-49_7days","cases_age_group_50-59_7days","cases_age_group_60-69_7days","cases_age_group_70-79_7days","cases_age_group_>=80_7days","cases_age_group_Unknown_7days","cumulative_cases_agegroup_0-9","cumulative_cases_agegroup_10-19","cumulative_cases_agegroup_20-29","cumulative_cases_agegroup_30-39","cumulative_cases_agegroup_40-49","cumulative_cases_agegroup_50-59","cumulative_cases_agegroup_60-69","cumulative_cases_agegroup_70-79","cumulative_cases_agegroup_>=80","cumulative_cases_agegroup_Unknown","cases_hisp_race_Hispanic_7days","cases_hisp_race_NH American Indian or Alaskan Native_7days","cases_hisp_race_NH Asian or Pacific Islander_7days","cases_hisp_race_NH Black_7days","cases_hisp_race_NH Multiracial_7days","cases_hisp_race_NH White_7days","cases_hisp_race_Unknown_7days","cumulative_cases_hisp_race_Hispanic","cumulative_cases_hisp_race_NH American Indian or Alaskan Native","cumulative_cases_hisp_race_NH Asian or Pacific Islander","cumulative_cases_hisp_race_NH Black","cumulative_cases_hisp_race_NH Multiracial","cumulative_cases_hisp_race_NH White","cumulative_cases_hisp_race_Unknown","cases_gender_Female_7days","cases_gender_Male_7days","cases_gender_Other_7days","cases_gender_Unknown_7days","cumulative_cases_gender_Female","cumulative_cases_gender_Male","cumulative_cases_gender_Other","cumulative_cases_gender_Unknown","cumulative_cases_gender_NA","case_rate_weekly","state_population","cumulative_deaths_agegroup_0-9","cumulative_deaths_agegroup_10-19","cumulative_deaths_agegroup_20-29","cumulative_deaths_agegroup_30-39","cumulative_deaths_agegroup_40-49","cumulative_deaths_agegroup_50-59","cumulative_deaths_agegroup_60-69","cumulative_deaths_agegroup_70-79","cumulative_deaths_agegroup_>=80","cumulative_deaths_agegroup_Unknown","cumulative_deaths_hisp_race_Hispanic","cumulative_deaths_hisp_race_NH American Indian or Alaskan Native","cumulative_deaths_hisp_race_NH Asian or Pacific Islander","cumulative_deaths_hisp_race_NH Black","cumulative_deaths_hisp_race_NH Multiracial","cumulative_deaths_hisp_race_NH White","cumulative_deaths_hisp_race_Unknown","cumulative_deaths_gender_Female","cumulative_deaths_gender_Male","cumulative_deaths_gender_Other","cumulative_deaths_gender_Unknown","fips","data_updated"
"06/01/2023","983,652","868,727","114,925","18,367,421","12,354","280","173","107","2,435","7","245","2,270",,"1,070,129","16,505,045","165","63","26","3","22","12","60","3","25","0.3968","13","5","23","21","29","38","57","56","38","0","86,829","113,423","155,477","154,162","131,794","137,243","102,010","57,611","43,854","1,249","24","0","9","35","2","179","31","154,573","1,019","25,395","95,994","17,361","503,590","185,720","165","115","0","0","524,435","454,425","283","4,509","460","7.765","3,605,944","12","7","32","118","263","787","1,761","2,757","6,617","0","1,212","4","140","1,320","305","9,036","337","6,053","6,288","1","12","9","06/01/2023"
"05/31/2023","983,562","868,679","114,883","18,366,631","12,348","246","159","87","2,116","1","224","1,987",,"1,070,059","16,504,318","129","55","22","1","21","11","53","2","22","0.4","13","5","24","19","27","39","42","45","32","0","86,827","113,421","155,470","154,156","131,784","137,233","101,987","57,593","43,842","1,249","23","0","5","29","3","152","34","154,569","1,019","25,388","95,969","17,358","503,538","185,721","149","97","0","0","524,373","454,396","284","4,509","460","6.8221","3,605,944","12","7","32","118","263","785","1,761","2,756","6,614","0","1,212","4","140","1,320","305","9,030","337","6,049","6,286","1","12","9","05/31/2023"
"05/30/2023","983,477","868,648","114,829","18,366,151","12,348","223","175","48","2,176","1","243","2,100",,"1,070,004","16,503,918","76","53","21","1","23","8","52","1","24","0.4528","13","5","19","16","22","34","36","44","34","0","86,826","113,419","155,458","154,148","131,776","137,221","101,967","57,576","43,837","1,249","21","0","5","29","2","138","28","154,557","1,020","25,386","95,966","17,356","503,485","185,707","127","96","0","0","524,321","454,365","283","4,508","458","6.1842","3,605,944","12","7","32","118","263","785","1,761","2,756","6,614","0","1,212","4","140","1,320","305","9,030","337","6,049","6,286","1","12","9","05/30/2023"
"05/29/2023","983,463","868,634","114,829","18,366,000","12,348","284","206","78","2,624","1","288","2,503",,"1,069,980","16,503,768","121","48","24","1","16","7","51","-3","17","0.3542","11","9","25","23","34","39","46","54","43","0","86,824","113,419","155,458","154,148","131,775","137,220","101,964","57,572","43,834","1,249","25","0","7","32","2","182","36","154,554","1,019","25,386","95,963","17,360","503,492","185,689","166","118","0","0","524,311","454,359","284","4,509","458","7.8759","3,605,944","12","7","32","118","263","785","1,761","2,756","6,614","0","1,212","4","140","1,320","305","9,030","337","6,049","6,286","1","12","9","05/29/2023"
"05/28/2023","983,441","868,613","114,828","18,365,795","12,348","307","207","100","2,738","1","290","2,590",,"1,069,965","16,503,565","148","48","20","3","15","10","51","-3","18","0.375","10","11","29","29","35","40","53","56","44","0","86,822","113,419","155,456","154,147","131,772","137,216","101,964","57,569","43,827","1,249","27","0","7","31","2","200","40","154,572","1,019","25,387","95,961","17,359","503,492","185,651","182","125","0","0","524,311","454,354","284","4,492","442","8.5137","3,605,944","12","7","32","118","263","785","1,761","2,756","6,614","0","1,212","4","140","1,320","305","9,030","337","6,049","6,286","1","12","9","05/28/2023"
"05/27/2023","983,420","868,592","114,828","18,365,557","12,348","315","202","113","2,775","1","282","2,595",,"1,069,925","16,503,329","180","55","24","3","18","10","46","9","21","0.3818","12","11","33","25","35","43","52","58","46","0","86,821","113,419","155,456","154,143","131,771","137,211","101,960","57,566","43,824","1,249","29","0","8","28","2","208","40","154,563","1,021","25,383","95,957","17,358","503,469","185,669","185","130","0","0","524,292","454,333","283","4,512","456","8.7356","3,605,944","12","7","32","118","263","785","1,761","2,756","6,614","0","1,212","4","140","1,320","305","9,030","337","6,049","6,286","1","12","9","05/27/2023"
"05/26/2023","983,325","868,511","114,814","18,364,758","12,348","270","157","113","2,457","1","229","2,281",,"1,069,823","16,502,557","176","52","20","3","17","12","47","5","20","0.3846","8","11","30","24","31","32","49","47","38","0","86,814","113,417","155,447","154,136","131,762","137,195","101,942","57,550","43,813","1,249","22","0","9","23","3","179","34","154,560","1,019","25,381","95,947","17,348","503,372","185,698","156","114","0","0","524,231","454,298","283","4,513","459","7.4876","3,605,944","12","7","32","118","263","785","1,761","2,756","6,614","0","1,212","4","140","1,320","305","9,030","337","6,049","6,286","1","12","9","05/26/2023"
"05/25/2023","983,290","868,488","114,802","18,364,471","12,347","281","173","108","2,519","0","235","2,351",,"1,069,767","16,502,294","168","60","23","3","18","16","46","14","21","0.35","12","12","24","26","31","31","53","52","40","0","86,813","113,419","155,438","154,135","131,760","137,189","101,937","57,541","43,808","1,250","24","0","11","27","2","183","34","154,549","1,019","25,377","95,937","17,341","503,355","185,712","161","120","0","0","524,215","454,283","283","4,509","454","7.7927","3,605,944","12","7","32","118","263","785","1,761","2,756","6,613","0","1,212","4","140","1,320","305","9,029","337","6,049","6,285","1","12","9","05/25/2023"
"05/24/2023","983,223","868,454","114,769","18,363,953","12,344","262","177","85","2,586","-3","242","2,448",,"1,069,726","16,501,819","138","53","26","2","14","11","46","7","16","0.3019","11","12","32","25","28","29","49","37","39","0","86,812","113,417","155,436","154,129","131,751","137,185","101,925","57,521","43,797","1,250","24","0","9","27","2","166","34","154,546","1,020","25,377","95,937","17,344","503,285","185,714","147","115","0","0","524,171","454,257","283","4,512","457","7.2658","3,605,944","12","7","32","118","263","785","1,761","2,756","6,610","0","1,212","4","140","1,320","305","9,028","335","6,047","6,284","1","12","9","05/24/2023"
"05/23/2023","983,162","868,415","114,747","18,363,349","12,344","251","174","77","2,609","-3","252","2,487",,"1,069,671","16,501,258","122","52","25","2","17","8","56","-4","19","0.3654","11","7","27","23","27","29","46","42","39","0","86,812","113,411","155,428","154,125","131,742","137,177","101,912","57,516","43,789","1,250","20","0","8","29","1","165","28","154,537","1,021","25,372","95,932","17,341","503,268","185,691","150","101","0","0","524,133","454,234","283","4,512","453","6.9607","3,605,944","12","7","32","118","263","785","1,761","2,756","6,610","0","1,212","4","140","1,320","305","9,028","335","6,047","6,284","1","12","9","05/23/2023"
"05/22/2023","983,063","868,364","114,699","18,362,718","12,347","219","164","55","2,469","0","242","2,384",,"1,069,597","16,500,702","85","51","21","2","19","9","51","0","21","0.4118","9","7","28","18","24","28","35","37","33","0","86,809","113,409","155,418","154,109","131,731","137,167","101,890","57,503","43,777","1,250","17","0","5","24","1","141","31","154,528","1,020","25,370","95,915","17,342","503,205","185,683","139","80","0","0","524,080","454,185","283","4,515","454","6.0733","3,605,944","12","7","32","118","263","785","1,762","2,757","6,611","0","1,212","4","140","1,320","305","9,031","335","6,047","6,287","1","12","9","05/22/2023"
"05/21/2023","983,044","868,352","114,692","18,362,556","12,347","225","164","61","2,580","0","246","2,491",,"1,069,593","16,500,553","89","51","21","2","18","10","48","3","20","0.3922","10","6","29","19","28","28","38","38","29","0","86,809","113,408","155,415","154,108","131,730","137,164","101,888","57,500","43,772","1,250","17","0","6","25","2","145","30","154,527","1,020","25,369","95,912","17,339","503,187","185,690","139","86","0","0","524,071","454,179","283","4,511","452","6.2397","3,605,944","12","7","32","118","263","785","1,762","2,757","6,611","0","1,212","4","140","1,320","305","9,031","335","6,047","6,287","1","12","9","05/21/2023"
"05/20/2023","983,025","868,333","114,692","18,362,259","12,347","251","176","75","2,711","0","248","2,600",,"1,069,568","16,500,257","111","46","20","0","17","9","50","-4","17","0.3696","10","6","32","22","32","26","42","50","31","0","86,807","113,407","155,414","154,107","131,728","137,159","101,885","57,499","43,769","1,250","16","0","4","24","2","170","35","154,534","1,019","25,369","95,907","17,335","503,167","185,694","158","93","0","0","524,064","454,161","283","4,517","459","6.9607","3,605,944","12","7","32","118","263","785","1,762","2,757","6,611","0","1,212","4","140","1,320","305","9,031","335","6,047","6,287","1","12","9","05/20/2023"
"05/19/2023","982,957","868,266","114,691","18,361,853","12,347","249","160","89","3,069","0","225","2,935",,"1,069,487","16,499,853","134","47","25","0","16","6","51","-4","16","0.3404","11","5","29","19","28","29","42","53","33","0","86,804","113,403","155,407","154,098","131,719","137,152","101,875","57,485","43,764","1,250","11","0","4","23","1","173","37","154,522","1,019","25,366","95,895","17,338","503,115","185,702","152","97","0","0","524,022","454,147","284","4,504","445","6.9053","3,605,944","12","7","32","118","263","785","1,762","2,757","6,611","0","1,212","4","140","1,320","305","9,031","335","6,047","6,287","1","12","9","05/19/2023"
"05/18/2023","982,917","868,235","114,682","18,361,401","12,347","258","163","95","3,539","7","229","3,396",,"1,069,431","16,499,420","143","46","27","1","13","5","48","-2","14","0.3043","13","7","28","24","28","34","44","50","30","0","86,800","113,403","155,402","154,095","131,718","137,147","101,869","57,476","43,757","1,250","17","0","6","24","2","169","40","154,508","1,019","25,361","95,894","17,338","503,087","185,710","155","103","0","0","523,981","454,130","284","4,522","462","7.1549","3,605,944","12","7","32","118","263","785","1,762","2,757","6,611","0","1,212","4","140","1,320","305","9,031","335","6,047","6,287","1","12","9","05/18/2023"
"05/17/2023","982,848","868,194","114,654","18,360,743","12,342","266","175","91","4,156","2","239","4,020",,"1,069,358","16,498,802","136","46","31","1","7","7","51","-5","8","0.1739","16","6","30","25","25","30","40","54","40","0","86,798","113,401","155,393","154,089","131,709","137,137","101,853","57,468","43,750","1,250","18","0","6","19","3","184","36","154,492","1,019","25,362","95,888","17,337","503,028","185,722","156","110","0","0","523,938","454,105","284","4,521","461","7.3767","3,605,944","12","7","32","118","263","785","1,762","2,756","6,607","0","1,212","4","140","1,320","305","9,026","335","6,044","6,285","1","12","9","05/17/2023"
"05/16/2023","982,799","868,166","114,633","18,360,384","12,340","280","193","87","5,040","0","267","4,910",,"1,069,320","16,498,472","130","56","29","1","11","15","55","1","12","0.2143","17","7","26","30","20","41","41","54","44","0","86,795","113,399","155,384","154,086","131,700","137,133","101,846","57,460","43,742","1,254","22","0","6","16","3","191","42","154,484","1,022","25,362","95,881","17,332","503,000","185,718","165","114","1","0","523,910","454,089","285","4,515","456","7.765","3,605,944","12","7","32","118","263","785","1,762","2,755","6,606","0","1,212","4","140","1,320","305","9,024","335","6,042","6,285","1","12","9","05/16/2023"
"05/15/2023","982,706","868,113","114,593","18,359,560","12,340","285","202","83","5,956","0","282","5,843","0.0483","1,069,249","16,497,713","113","51","26","1","11","13","53","-2","12","0.2353","22","10","26","29","22","43","32","54","47","0","86,791","113,395","155,375","154,077","131,690","137,123","101,827","57,443","43,731","1,254","27","0","9","19","3","191","36","154,486","1,022","25,357","95,874","17,331","502,935","185,701","180","104","1","0","523,867","454,042","284","4,513","451","7.9036","3,605,944","12","7","32","118","263","785","1,762","2,755","6,606","0","1,212","4","140","1,320","305","9,024","335","6,042","6,285","1","12","9","05/15/2023"
