Year,GeoID,Geography Type,Geography Name,Sex,Education,Value,Margin of Error,Measure,ObjectId
2010,0900104720,Town,Bethel,Female,Less Than High School Diploma,5.4,2.9,Percent,29700
2010,0900104720,Town,Bethel,Male,Less Than High School Diploma,7.4,3,Percent,29731
2010,0900108070,Town,Bridgeport,Female,Less Than High School Diploma,25.9,1.6,Percent,29791
2010,0900108070,Town,Bridgeport,Male,Less Than High School Diploma,27.3,1.8,Percent,29814
2010,0900108980,Town,Brookfield,Female,Less Than High School Diploma,3.2,2.5,Percent,29838
2010,0900108980,Town,Brookfield,Male,Less Than High School Diploma,3.8,5.2,Percent,29865
2010,0900118500,Town,Danbury,Female,Less Than High School Diploma,16,1.7,Percent,29883
2010,0900118500,Town,Danbury,Male,Less Than High School Diploma,19.2,2.2,Percent,29895
2010,0900148620,Town,Monroe,Female,Less Than High School Diploma,6.1,3.3,Percent,30012
2010,0900118850,Town,Darien,Female,Less Than High School Diploma,2.7,3,Percent,30013
2010,0900156060,Town,Norwalk,Male,Less Than High School Diploma,12,1.6,Percent,30021
2010,0900312270,Town,Canton,Female,Less Than High School Diploma,4.4,5.3,Percent,30022
2010,0900183430,Town,Weston,Male,Less Than High School Diploma,0.6,10,Percent,30027
2010,0900168310,Town,Sherman,Male,Less Than High School Diploma,1.5,25.3,Percent,30031
2010,0900148620,Town,Monroe,Male,Less Than High School Diploma,4.5,1.6,Percent,30041
2010,0900150580,Town,New Canaan,Female,Less Than High School Diploma,3.8,2.5,Percent,30048
2010,0900150580,Town,New Canaan,Male,Less Than High School Diploma,2.8,2.6,Percent,30054
2010,0900150860,Town,New Fairfield,Female,Less Than High School Diploma,4.8,4.2,Percent,30060
2010,0900150860,Town,New Fairfield,Male,Less Than High School Diploma,5.5,1.9,Percent,30066
2010,0900152980,Town,Newtown,Female,Less Than High School Diploma,4,1.4,Percent,30072
2010,0900152980,Town,Newtown,Male,Less Than High School Diploma,8.3,2.2,Percent,30078
2010,0900156060,Town,Norwalk,Female,Less Than High School Diploma,12.6,1.5,Percent,30084
2010,0900312270,Town,Canton,Male,Less Than High School Diploma,3.9,7.7,Percent,30091
2010,0900325990,Town,Enfield,Female,Less Than High School Diploma,9.4,1.5,Percent,30096
2010,0900304300,Town,Berlin,Female,Less Than High School Diploma,6.7,2.7,Percent,30099
2010,0900118850,Town,Darien,Male,Less Than High School Diploma,2.6,2.6,Percent,30101
2010,0900325990,Town,Enfield,Male,Less Than High School Diploma,12.3,1.4,Percent,30117
2010,0900327600,Town,Farmington,Female,Less Than High School Diploma,4.9,1.8,Percent,30123
2010,0900327600,Town,Farmington,Male,Less Than High School Diploma,3.9,1.2,Percent,30129
2010,0900331240,Town,Glastonbury,Female,Less Than High School Diploma,4.2,1.5,Percent,30135
2010,0900331240,Town,Glastonbury,Male,Less Than High School Diploma,3,1.6,Percent,30141
2010,0900332640,Town,Granby,Female,Less Than High School Diploma,3,6.3,Percent,30147
2010,0900332640,Town,Granby,Male,Less Than High School Diploma,5.3,5.4,Percent,30153
2010,0900337070,Town,Hartford,Female,Less Than High School Diploma,31.6,1.9,Percent,30159
2010,0900322070,Town,East Granby,Female,Less Than High School Diploma,5.1,15.4,Percent,30161
2010,0900183500,Town,Westport,Female,Less Than High School Diploma,2.8,2.3,Percent,30162
