Year,GeoID,Geography Type,Geography Name,Race/Ethnicity,Value,Margin of Error,ObjectId
2023,0911078250,Town,Vernon,Total,80766,5175,7
2023,0911082590,Town,West Hartford,Total,125616,8309,16
2023,0911084900,Town,Wethersfield,Total,118523,11177,25
2023,0911085950,Town,Willington,Total,88370,9061,34
2023,0911087000,Town,Windsor,Total,107548,5204,43
2023,0911050440,Town,New Britain,Total,57036,3341,58
2023,0911052140,Town,Newington,Total,98585,5465,67
2023,0911060120,Town,Plainville,Total,81920,5449,76
2023,0911065370,Town,Rocky Hill,Total,100061,6232,85
2023,0911068940,Town,Simsbury,Total,153715,9217,94
2023,0911001080,Town,Andover,Total,127335,20643,119
2023,0911002060,Town,Avon,Total,151481,10085,128
2023,0911004300,Town,Berlin,Total,110657,12667,137
2023,0911005910,Town,Bloomfield,Total,97436,11306,146
2023,0911032640,Town,Granby,Total,117476,13573,154
2023,0911037070,Town,Hartford,Total,45300,2925,163
2023,0911037910,Town,Hebron,Total,140700,22164,172
2023,0911044700,Town,Manchester,Total,87213,3641,181
2023,0911044910,Town,Mansfield,Total,67321,12027,190
2023,0911045820,Town,Marlborough,Total,140022,24392,199
2023,0911006260,Town,Bolton,Total,124861,22397,205
2023,0911012270,Town,Canton,Total,127941,20185,214
2023,0911016400,Town,Columbia,Total,122500,20553,223
2023,0911017800,Town,Coventry,Total,104953,12553,232
2023,0911022070,Town,East Granby,Total,123005,17869,241
2023,0911022630,Town,East Hartford,Total,66943,5935,250
2023,0911069220,Town,Somers,Total,115119,11599,253
2023,0911070550,Town,Southington,Total,121584,9631,262
2023,0911071390,Town,South Windsor,Total,143025,11871,271
2023,0911072090,Town,Stafford,Total,97509,16441,280
2023,0911074540,Town,Suffield,Total,125352,16356,289
2023,0911076290,Town,Tolland,Total,132500,17838,298
2023,0911087070,Town,Windsor Locks,Total,90417,12576,302
2023,0912008070,Town,Bridgeport,Total,56584,1938,320
2023,0912023890,Town,Easton,Total,189505,22334,329
2023,0912026620,Town,Fairfield,Total,168391,9158,338
2023,0912048620,Town,Monroe,Total,156731,12283,347
2023,0911024800,Town,East Windsor,Total,95264,9464,359
2023,0911025360,Town,Ellington,Total,125797,15398,368
2023,0911025990,Town,Enfield,Total,91141,5018,377
2023,0911027600,Town,Farmington,Total,134237,8690,386
2023,0911031240,Town,Glastonbury,Total,150290,11712,395
2023,0913035230,Town,Haddam,Total,115833,13347,405
2023,0913040710,Town,Killingworth,Total,132739,12757,414
2023,0913044210,Town,Lyme,Total,139000,34914,423
2023,0913047080,Town,Middlefield,Total,113750,26177,433
2023,0913047360,Town,Middletown,Total,73979,3436,442
2023,0913057040,Town,Old Lyme,Total,126904,7248,451
2023,0912074190,Town,Stratford,Total,93820,6936,457
2023,0912077200,Town,Trumbull,Total,163227,9574,466
2023,0913014300,Town,Chester,Total,94570,17029,484
2023,0913015350,Town,Clinton,Total,116023,9947,493
2023,0914068170,Town,Shelton,Total,114739,7568,503
2023,0914069640,Town,Southbury,Total,112434,9962,512
2023,0914075730,Town,Thomaston,Total,104074,14083,521
2023,0914080070,Town,Waterbury,Total,51642,2274,530
2023,0914080490,Town,Watertown,Total,97664,5871,539
2023,0914087560,Town,Wolcott,Total,114406,6501,548
2023,0913018080,Town,Cromwell,Total,104458,12482,551
2023,0913019130,Town,Deep River,Total,86995,10553,560
2023,0913020810,Town,Durham,Total,151875,24639,569
2023,0913022280,Town,East Haddam,Total,105866,8701,578
2023,0913022490,Town,East Hampton,Total,118775,9465,587
2023,0913026270,Town,Essex,Total,100767,8066,596
2023,0913057320,Town,Old Saybrook,Total,119500,17746,609
2023,0913061800,Town,Portland,Total,118955,8396,618
2023,0913081680,Town,Westbrook,Total,76172,20703,627
2023,0914001220,Town,Ansonia,Total,80585,8385,645
2023,0914049950,Town,Naugatuck,Total,92184,10390,658
2023,0914058300,Town,Oxford,Total,125563,12765,667
2023,0914060750,Town,Plymouth,Total,99797,10299,676
2023,0914062290,Town,Prospect,Total,125556,18137,685
2023,0914067610,Town,Seymour,Total,103682,13065,694
2023,0914087910,Town,Woodbury,Total,129427,6245,707
2023,0915001430,Town,Ashford,Total,129219,34182,725
2023,0915009190,Town,Brooklyn,Total,90575,19067,734
2023,0915012130,Town,Canterbury,Total,99487,12460,743
2023,0914003250,Town,Beacon Falls,Total,95405,22855,754
2023,0914004930,Town,Bethlehem,Total,106731,18524,763
2023,0914008490,Town,Bristol,Total,83458,4955,772
2023,0914014160,Town,Cheshire,Total,150787,9190,781
2023,0914019550,Town,Derby,Total,76263,9859,790
2023,0914046940,Town,Middlebury,Total,142750,4351,799
2023,0915013810,Town,Chaplin,Total,96582,17060,802
2023,0915021860,Town,Eastford,Total,108500,9903,811
2023,0915036000,Town,Hampton,Total,112344,12569,821
2023,0915078600,Town,Voluntown,Total,92438,25722,832
2023,0915040500,Town,Killingly,Total,81881,10780,842
2023,0916086440,Town,Winchester,Total,68890,11219,851
2023,0916043370,Town,Litchfield,Total,106912,12622,857
2023,0915059980,Town,Plainfield,Total,75631,7622,866
2023,0915061030,Town,Pomfret,Total,105642,8410,875
2023,0915088190,Town,Woodstock,Total,104487,17739,892
2023,0916049460,Town,Morris,Total,111000,25663,899
2023,0917004580,Town,Bethany,Total,153879,29341,918
2023,0916002760,Town,Barkhamsted,Total,119255,10168,928
2023,0916010100,Town,Burlington,Total,158357,12408,937
2023,0916010940,Town,Canaan,Total,87000,23733,946
2023,0916051350,Town,New Hartford,Total,116618,22954,955
2023,0916016050,Town,Colebrook,Total,114904,17150,969
2023,0917007310,Town,Branford,Total,97223,6530,974
2023,0916053470,Town,Norfolk,Total,85859,14505,980
2023,0916054030,Town,North Canaan,Total,68295,16432,989
2023,0916065930,Town,Roxbury,Total,120250,19785,1002
2023,0916017240,Town,Cornwall,Total,101339,24129,1015
2023,0917022910,Town,East Haven,Total,86498,4809,1017
2023,0917034950,Town,Guilford,Total,130036,10842,1028
2023,0916066420,Town,Salisbury,Total,99382,24502,1031
2023,0916032290,Town,Goshen,Total,161354,37350,1044
2023,0916037140,Town,Hartland,Total,117109,8030,1053
2023,0916037280,Town,Harwinton,Total,107440,18303,1062
2023,0916040290,Town,Kent,Total,101023,15040,1071
2023,0917035650,Town,Hamden,Total,92176,8549,1077
2023,0917044560,Town,Madison,Total,168341,13466,1086
2023,0917046520,Town,Meriden,Total,68617,3829,1095
2023,0917047535,Town,Milford,Total,109580,6614,1107
2023,0917052070,Town,New Haven,Total,53771,4369,1116
2023,0916067960,Town,Sharon,Total,106951,25442,1123
2023,0916076570,Town,Torrington,Total,69611,4240,1132
2023,0915062710,Town,Putnam,Total,67416,6758,1143
2023,0916079510,Town,Warren,Total,119167,30136,1148
2023,0915067400,Town,Scotland,Total,94946,7623,1161
2023,0916079720,Town,Washington,Total,89135,27510,1166
2023,0915073420,Town,Sterling,Total,89167,23273,1174
2023,0915075870,Town,Thompson,Total,88421,16885,1183
2023,0915077830,Town,Union,Total,89375,23241,1192
2023,0918033900,Town,Griswold,Total,80694,10744,1206
2023,0918034250,Town,Groton,Total,83547,4192,1215
2023,0918042390,Town,Lebanon,Total,106594,13438,1224
2023,0918042600,Town,Ledyard,Total,107774,10065,1235
2023,0918043230,Town,Lisbon,Total,94302,12665,1244
2023,0917087700,Town,Woodbridge,Total,201926,15139,1255
2023,0919050580,Town,New Canaan,Total,250001,,1260
2023,0918071670,Town,Sprague,Total,89838,11567,1265
2023,0919050860,Town,New Fairfield,Total,143864,17222,1287
2023,0918073770,Town,Stonington,Total,108922,6752,1291
2023,0918006820,Town,Bozrah,Total,110250,15743,1312
2023,0918080280,Town,Waterford,Total,109485,5214,1314
2023,0919052630,Town,New Milford,Total,103630,7153,1316
2023,0918015910,Town,Colchester,Total,118839,13854,1340
2023,0918086790,Town,Windham,Total,55034,3988,1343
2023,0919052980,Town,Newtown,Total,148067,13162,1346
2023,0919056060,Town,Norwalk,Total,105301,4468,1358
2023,0919063480,Town,Redding,Total,176719,17266,1367
2023,0917053890,Town,North Branford,Total,113687,17616,1379
2023,0918023400,Town,East Lyme,Total,107667,9529,1393
2023,0919008210,Town,Bridgewater,Total,156682,4278,1400
2023,0917054870,Town,North Haven,Total,126807,8487,1415
2023,0918029910,Town,Franklin,Total,100179,8170,1427
2023,0919008980,Town,Brookfield,Total,142432,13028,1436
2023,0919004720,Town,Bethel,Total,115135,9778,1438
2023,0917057600,Town,Orange,Total,145625,23852,1447
2023,0919018500,Town,Danbury,Total,83422,5776,1456
2023,0917078740,Town,Wallingford,Total,101572,5754,1465
2023,0919018850,Town,Darien,Total,250001,,1474
2023,0917082870,Town,West Haven,Total,73566,3509,1483
2023,0919033620,Town,Greenwich,Total,198458,13554,1492
2023,0919063970,Town,Ridgefield,Total,168810,12561,1508
2023,0919068310,Town,Sherman,Total,107375,44924,1517
2023,0919073070,Town,Stamford,Total,107474,5305,1526
2023,0919083430,Town,Weston,Total,250001,,1535
2023,0919083500,Town,Westport,Total,250001,,1544
2023,0918048900,Town,Montville,Total,87752,7459,1551
2023,0918052350,Town,New London,Total,60123,7255,1560
2023,0918055500,Town,North Stonington,Total,115069,17671,1569
2023,0918056270,Town,Norwich,Total,64185,4982,1578
2023,0918062150,Town,Preston,Total,109375,25453,1587
2023,0918066210,Town,Salem,Total,118378,9895,1596
2023,0919086370,Town,Wilton,Total,227165,18404,1664
